Date,rf_rate
9/15/2016,3.22E-05
9/16/2016,3.22E-05
9/19/2016,3.33E-05
9/20/2016,3.33E-05
9/21/2016,2.44E-05
9/22/2016,2.00E-05
9/23/2016,2.00E-05
9/26/2016,2.78E-05
9/27/2016,2.89E-05
9/28/2016,3.00E-05
9/29/2016,2.89E-05
9/30/2016,3.11E-05
10/3/2016,3.56E-05
10/4/2016,3.67E-05
10/5/2016,3.56E-05
10/6/2016,3.56E-05
10/7/2016,3.56E-05
10/11/2016,3.89E-05
10/12/2016,4.00E-05
10/13/2016,3.22E-05
10/14/2016,3.44E-05
10/17/2016,3.78E-05
10/18/2016,3.78E-05
10/19/2016,3.78E-05
10/20/2016,3.78E-05
10/21/2016,3.67E-05
10/24/2016,3.67E-05
10/25/2016,3.78E-05
10/26/2016,3.67E-05
10/27/2016,3.22E-05
10/28/2016,3.22E-05
10/31/2016,3.78E-05
11/1/2016,3.89E-05
11/2/2016,4.00E-05
11/3/2016,4.11E-05
11/4/2016,4.11E-05
11/7/2016,4.56E-05
11/8/2016,4.78E-05
11/9/2016,4.89E-05
11/10/2016,5.22E-05
11/14/2016,6.00E-05
11/15/2016,5.56E-05
11/16/2016,5.11E-05
11/17/2016,4.78E-05
11/18/2016,4.78E-05
11/21/2016,5.11E-05
11/22/2016,5.33E-05
11/23/2016,5.56E-05
11/25/2016,5.33E-05
11/28/2016,5.33E-05
11/29/2016,5.33E-05
11/30/2016,5.33E-05
12/1/2016,5.22E-05
12/2/2016,5.33E-05
12/5/2016,5.44E-05
12/6/2016,5.44E-05
12/7/2016,5.67E-05
12/8/2016,5.56E-05
12/9/2016,5.89E-05
12/12/2016,5.67E-05
12/13/2016,6.00E-05
12/14/2016,6.00E-05
12/15/2016,5.56E-05
12/16/2016,5.56E-05
12/19/2016,5.78E-05
12/20/2016,5.78E-05
12/21/2016,5.67E-05
12/22/2016,5.56E-05
12/23/2016,5.67E-05
12/27/2016,5.67E-05
12/28/2016,5.78E-05
12/29/2016,5.11E-05
12/30/2016,5.56E-05
1/3/2017,5.89E-05
1/4/2017,5.78E-05
1/5/2017,5.67E-05
1/6/2017,5.78E-05
1/9/2017,5.56E-05
1/10/2017,5.67E-05
1/11/2017,5.67E-05
1/12/2017,5.67E-05
1/13/2017,5.78E-05
1/17/2017,6.00E-05
1/18/2017,5.78E-05
1/19/2017,5.67E-05
1/20/2017,5.44E-05
1/23/2017,5.67E-05
1/24/2017,5.56E-05
1/25/2017,5.44E-05
1/26/2017,5.56E-05
1/27/2017,5.67E-05
1/30/2017,5.67E-05
1/31/2017,5.78E-05
2/1/2017,5.56E-05
2/2/2017,5.67E-05
2/3/2017,5.56E-05
2/6/2017,5.89E-05
2/7/2017,5.89E-05
2/8/2017,5.89E-05
2/9/2017,5.89E-05
2/10/2017,6.00E-05
2/13/2017,5.78E-05
2/14/2017,6.00E-05
2/15/2017,5.89E-05
2/16/2017,5.78E-05
2/17/2017,5.78E-05
2/21/2017,5.89E-05
2/22/2017,5.78E-05
2/23/2017,5.67E-05
2/24/2017,5.67E-05
2/27/2017,5.56E-05
2/28/2017,5.89E-05
3/1/2017,6.89E-05
3/2/2017,7.33E-05
3/3/2017,7.78E-05
3/6/2017,8.11E-05
3/7/2017,8.33E-05
3/8/2017,8.00E-05
3/9/2017,8.00E-05
3/10/2017,8.11E-05
3/13/2017,8.67E-05
3/14/2017,8.56E-05
3/15/2017,8.00E-05
3/16/2017,8.00E-05
3/17/2017,8.00E-05
3/20/2017,8.33E-05
3/21/2017,8.44E-05
3/22/2017,8.44E-05
3/23/2017,8.33E-05
3/24/2017,8.56E-05
3/27/2017,8.56E-05
3/28/2017,8.56E-05
3/29/2017,8.56E-05
3/30/2017,8.56E-05
3/31/2017,8.33E-05
4/3/2017,8.67E-05
4/4/2017,8.67E-05
4/5/2017,8.78E-05
4/6/2017,8.67E-05
4/7/2017,9.00E-05
4/10/2017,9.00E-05
4/11/2017,9.00E-05
4/12/2017,8.89E-05
4/13/2017,8.89E-05
4/17/2017,9.11E-05
4/18/2017,9.00E-05
4/19/2017,8.89E-05
4/20/2017,8.67E-05
4/21/2017,8.67E-05
4/24/2017,8.89E-05
4/25/2017,9.00E-05
4/26/2017,9.11E-05
4/27/2017,8.89E-05
4/28/2017,8.78E-05
5/1/2017,9.11E-05
5/2/2017,9.00E-05
5/3/2017,9.33E-05
5/4/2017,9.33E-05
5/5/2017,9.78E-05
5/8/2017,0.0001
5/9/2017,0.0001
5/10/2017,9.89E-05
5/11/2017,9.67E-05
5/12/2017,9.56E-05
5/15/2017,9.89E-05
5/16/2017,9.89E-05
5/17/2017,9.89E-05
5/18/2017,0.000101111
5/19/2017,0.0001
5/22/2017,0.000102222
5/23/2017,0.000101111
5/24/2017,0.000102222
5/25/2017,0.000102222
5/26/2017,0.000102222
5/30/2017,0.000102222
5/31/2017,0.000106667
6/1/2017,0.000106667
6/2/2017,0.000106667
6/5/2017,0.000105556
6/6/2017,0.000106667
6/7/2017,0.000108889
6/8/2017,0.00011
6/9/2017,0.00011
6/12/2017,0.000107778
6/13/2017,0.00011
6/14/2017,0.00011
6/15/2017,0.000111111
6/16/2017,0.000112222
6/19/2017,0.000112222
6/20/2017,0.000111111
6/21/2017,0.000107778
6/22/2017,0.000104444
6/23/2017,0.000105556
6/26/2017,0.000108889
6/27/2017,0.00011
6/28/2017,0.000111111
6/29/2017,0.000113333
6/30/2017,0.000112222
7/3/2017,0.000115556
7/5/2017,0.000114444
7/6/2017,0.000113333
7/7/2017,0.000114444
7/10/2017,0.000114444
7/11/2017,0.000114444
7/12/2017,0.000114444
7/13/2017,0.000114444
7/14/2017,0.000113333
7/17/2017,0.000116667
7/18/2017,0.000116667
7/19/2017,0.000121111
7/20/2017,0.000125556
7/21/2017,0.000126667
7/24/2017,0.000127778
7/25/2017,0.000128889
7/26/2017,0.000123333
7/27/2017,0.000121111
7/28/2017,0.000117778
7/31/2017,0.000116667
8/1/2017,0.000117778
8/2/2017,0.000117778
8/3/2017,0.000117778
8/4/2017,0.000117778
8/7/2017,0.000112222
8/8/2017,0.000115556
8/9/2017,0.000115556
8/10/2017,0.000114444
8/11/2017,0.000112222
8/14/2017,0.000112222
8/15/2017,0.000113333
8/16/2017,0.000111111
8/17/2017,0.000108889
8/18/2017,0.000111111
8/21/2017,0.00011
8/22/2017,0.00011
8/23/2017,0.000108889
8/24/2017,0.000111111
8/25/2017,0.000112222
8/28/2017,0.000107778
8/29/2017,0.000112222
8/30/2017,0.000112222
8/31/2017,0.00011
9/1/2017,0.000111111
9/5/2017,0.000112222
9/6/2017,0.000116667
9/7/2017,0.000114444
9/8/2017,0.000113333
9/11/2017,0.000115556
9/12/2017,0.000113333
9/13/2017,0.000113333
9/14/2017,0.000114444
9/15/2017,0.000114444
9/18/2017,0.000115556
9/19/2017,0.000114444
9/20/2017,0.000113333
9/21/2017,0.000113333
9/22/2017,0.000112222
9/25/2017,0.000115556
9/26/2017,0.000116667
9/27/2017,0.000116667
9/28/2017,0.000115556
9/29/2017,0.000115556
10/2/2017,0.000111111
10/3/2017,0.000116667
10/4/2017,0.000117778
10/5/2017,0.000116667
